,title,lyrics,artists,artistsFromList,date,rank,cnt
Start a new relationship with you, this is what you do
Think about a ring and all the things that come along with
You make me, you make me

[Verse 2: Usher]
Now, what's bad is you're the one that hooked us up
Knowing it should've been you
What's sad is I love her, but I'm falling for you
What should I do?
Should I, tell my baby bye-bye?
Should I, do exactly what I feel inside?
'Cause I, I don't wanna go, don't need to stay
But I really need to get it together

[Chorus: Usher]
You make me wanna leave the one I'm with
Start a new relationship with you, this is what you do
Think about a ring and all the things that come along with
You make me, you make me
You make me wanna leave the one I'm with
Start a new relationship with you, this is what you do
Think about a ring and all the things that come along with
You make me, you make me

[Bridge: Usher]
At this point, the situation's out of control
I never meant to hurt her, but I gotta let her go
And she may not understand it while all of this is going on
I tried, I tried to fight it, but the feeling's just too strong
You make, make, make me

[Interlude: Usher & Jermaine Dupri]
You make me wanna...
You make me wanna...
You make me wanna...
You make me wanna...
You make me wanna...
You make me wanna...
You make me wanna...
You make me wanna...
Come along with
You're making me, you're making me

[Chorus: Usher]
You make me wanna leave the one I'm with
Start a new relationship with you, this is what you do
Think about a ring and all the things that come along with
You make me, you make me
You make me wanna leave the one I'm with
Start a new relationship with you, this is what you do
Think about a ring and all the things that come along with
You make me, you make me
You make me wanna leave the one I'm with
Start a new relationship with you, this is what you do
Think about a ring and all the things that come along with
You make me, you make me
You make me wanna leave the one I'm with
Start a new relationship with you, this is what you do
Think about a ring and all the...",Usher,Usher,1997,"[3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 4, 3, 3, 3, 6, 9, 14, 25]",19
2,Together Again,"[Intro]
There are times when I look above and beyond
There are times when I feel your love around me, baby
I'll never forget my baby
I'll never forget you

[Verse 1]
There are times when I look above and beyond
There are times when I feel your love around me, baby
I'll never forget my baby
When I feel that I don't belong
Draw my strength from the words when you said
Hey, it's about you, baby
Look deeper inside you, baby

[Pre-Chorus]
Dream about us together again
What I want: us together again, baby
I know we'll be together again, 'cause

[Chorus]
Everywhere I go, every smile I see
I know you are there smilin' back at me
Dancin' in moonlight, I know you are free
'Cause I can see your star shinin' down on me

[Post-Chorus]
(Together again, ooh)
Good times we'll share again
(Together again, ooh)
Makes me wanna dance
(Together again, ooh)
Say it loud and proud
(Together again, ooh)
All my love's for you

[Verse 2]
Always been a true angel to me - now above
I can't wait for you to wrap your wings around me, baby
(Wrap them around me, baby)
Oooh, wrap them around me, baby
(Wrap them around me, baby)
Sometimes hear you whisperin' ""No more pain""
No worries will you ever see now, baby
(Ever see you, baby)
I'm so happy for my baby
(Happy for you, baby)

[Pre-Chorus]
Dream about us together again
What I want: us together again, baby
I know we'll be together again, 'cause

[Chorus]
Everywhere I go, every smile I see
I know you are there smilin' back at me
Dancin' in moonlight, I know you are free
'Cause I can see your star shinin' down on me

[Post-Chorus]
(Together again, ooh)
Good times we'll share again
(Together again, ooh)
Makes me wanna dance
(Together again, ooh)
Say it loud and proud
(Together again, ooh)
All my love's for you

[Bridge]
There are times when I look above and beyond
There are times when I feel you smile upon me, baby
I'll never forget my baby
What I'd give just to hold you close as on earth
In heaven, we will be together, baby
(Together)
Together again, my baby
(Together again, my baby)

[Chorus]
Everywhere I go, every smile I see
I know you are there smilin' back at me
Dancin' in moonlight, I know you are free
'Cause I can see your star shinin' down on me
Everywhere I go, every smile I see
I know you are there smilin' back at me
Dancin' in moonlight, I know you are free
'Cause I can see your star shinin' down on me",Janet Jackson,Janet,1997,"[4, 9]",2
3,Been Around The World,"1979

1. Sugarhill Gang ""Rapper's Delight"" (Sugarhill)
2. Grandmaster Flash & the Furious 5 ""Superrappin'"" (Enjoy)
3. Kurtis Blow ""Christmas Rappin'"" (Mercury)
4. Funky 4 + 1 ""Rappin' and Rockin' the House"" (Enjoy)
5. The Younger Generation ""We Rap More Mellow"" (Brass) [Grandmaster Flash & the Furious 5]
6. Paulette & Tanya Winley ""Rhymin' and Rappin'"" (Winley)
7. Sequence ""Funk You Up"" (Sugarhill)
8. Lady B ""To the Beat, Y'all"" (T.E.C.)
9. Jazzy 4 MCs ""MC Rock"" (Razzberri Rainbow)
10. Lady D ""Lady D"" (Reflection)
11. Funky Constellation ""Street Talk (Madam Rapper)"" (Funky Constellation)
12. Solid C, Bobby D & Kool Drop ""Wack Rap"" (Wackie's)
13. Ron Hunt ""Spiderap"" (Reflection)
14. Xanadu & Sweet Lady ""Rapper's Delight""/""Rocker's Choice"" (Joe Gibbs Music)
15. Fatback ""King Tim III (Personality Jock)"" (Spring)

1980

1. Kurtis Blow ""The Breaks"" (Mercury)
2. Disco Dave & the Force of the 5 MC's ""High Powered Rap"" (Mike & Dave) [Crash Crew]
3. Spoonie Gee ""Spoonin' Rap"" (Sound of New York)
4. Treacherous Three ""The New Rap Language"" / Spoonie Gee ""Love Rap"" (Enjoy)
5. Treacherous Three ""The Body Rock"" (Enjoy)
6. Afrika Bambaataa & the Cosmic Force ""Zulu Nation Throwdown Volume 1"" (Winley)
7. Grandmaster Flash & the Furious 5 ""Freedom"" (Sugarhill)
8. Jimmy Spicer ""Adventures of Super Rhyme (Rap)"" (Dazz)
9. Tanya Winley ""Vicious Rap"" (Winley)
10. Afrika Bambaataa & the Soul Sonic Force ""Zulu Nation Throwdown Volume 2"" (Winley)
11. Sequence featuring Spoonie Gee ""Monster Jam"" (Sugarhill)
12. Sugarhill Gang ""8th Wonder"" (Sugarhill)
13. Treacherous Three ""At the Party"" (Enjoy)
14. Ronnie Gee ""Raptivity"" (Reflection)
15. Brother D & the Collective Effort ""How We Gonna Make the Black Nation Rise?"" (Clappers)
16. T.J. Swann ""And You Know That"" (Express)
17. Trickeration ""Rap, Bounce, Rockskate"" (Sound of New York)
18. Grandmaster Flash & the Furious 5 ""Super Rappin' no. 2"" (Enjoy)
19. Super 3 ""Philosophy Rappin' Spree"" (Delmar International)
20. Spyder-D ""Big Apple Rappin' (National Rappin' Anthem)"" (Newtroit)
21. The Marvelous Three & The Younger Generation ""Rappin' All Over"" (Brass)
22. Nice & Nasty 3 ""The Ultimate Rap"" (Holiday)
23. Kool Kyle the Starchild & the Disco Dolls ""Do You Like That Funky Beat"" (Enjoy)
24. Harlem World Crew ""Let's Rock"" (Tay-ster)
25. Harlem World Crew ""Rapper's Convention"" (Tay-ster)
26. Jazzy Three ""The Rappin' Spree"" (New City)
27. Scoopy ""Scoopy Rap"" (Sound of New York)
28. Rappermatical 5 ""Party People"" (Dynamite)
29. Master Jay & Michael Dee ""T.S.O.B."" (The Sound of Brooklyn)
30. Disco Four ""Move to the Groove"" (Enjoy)
31. Super J ""Santa's Rap Party"" (Sound of New York)
32. Bobby/Demo ""More Ounce (Rap)"" (Scorpio)
33. Willie Wood & the Willie Wood Crew ""Willie Rap"" (Sound of New York)
34. CC Crew ""CC Crew Rap"" (Golden Flamingo)
35. Family ""Family Rap"" (Sound of New York)
36. Pookey Blow ""Get Up (and Go to School)"" (Tri-State)
37. Sicle Cell & Rhapazooty ""Rhapazooty in Blue"" (Showstoppers)
38. Mr. Magic ""Rappin' with Mr. Magic"" (Magic)
39. Lonnie Love ""Young Ladies"" (Nia) [a.k.a. Mr. Hyde]
40. Bon Rock & the Rhythm Rebellion ""Searchin' Rap"" (Reelin' & Rockin')

1981

1. Afrika Bambaataa & the Jazzy 5 ""Jazzy Sensation"" (Tommy Boy)
2. Treacherous Three ""Feel the Heartbeat"" (Enjoy)
3. Grandmaster Flash & the Furious 5 ""The Adventures of Grandmaster Flash on the Wheels of Steel"" (Sugarhill)
4. Funky 4 + 1 ""That's the Joint"" (Sugarhill)
5. T Ski Valley ""Catch the Beat"" (Grand Groove)
6. Dr. Jeckyll & Mr. Hyde ""Genius Rap"" (Profile)
7. Boogie Boys featuring Kool Ski, Kid Delight & Disco Dave ""Rappin' Ain't No Thang"" (Mike & Dave)
8. Grand Wizard Theodore & the Fantastic Five ""Can I Get a Soul Clap, Fresh Out the Pack"" (Soul Wax)
9. Grandmaster Flash & the Furious 5 ""It's Nasty"" (Sugarhill)
10. Trouble Funk ""Pump Me Up"" (Jam)
11. Spoonie Gee ""Spoonie is Back"" (Sugarhill)
12. Just Four ""Girls of the World"" (Grand Groove)
13. Mean Machine ""Disco Dream"" (Sugarhill)
14. Treacherous Three ""Put the Boogie in Your Body"" (Enjoy)
15. Grandmaster Flash & the Furious 5 ""The Birthday Party"" (Sugarhill)
16. Pee Wee Mel & Barry B ""Life on Planet Earth"" (12 Star)
17. T.J. Swann, Pee Wee Mel & Swann Controllers ""Maximus Party"" (Express)
18. Crash Crew ""We Want to Rock"" (Sugarhill)
19. Solo Sound ""Get the Party Jumpin'"" (Express)
20. Lovebug Starski & the Harlem World Crew ""Positive Life"" (Tay-ster)
21. South Bronx ""The Big Throwdown"" (Dakar)
22. Grandmaster Chilly T & Stevie G ""Rock the Message Rap"" (12 Star)
23. Kool Kyle the Starchild ""It's Rockin' Time"" (Enjoy)
24. Chapter Three ""Real Rocking Groove"" (Grand Groove)
25. Disco Four ""Do It, Do It"" (Enjoy)
26. Spanish Fly & the Terrible Two ""Spanglish"" (Enjoy)
27. T Ski Valley ""Never Let Go"" (Grand Groove)
28. Margo's Kool Out Crew ""Death Rap"" (Heavenly Star)
29. Troy Rainey ""Tricky Tee Rap"" (Heavenly Star)
30. Doctor Love & Sister Love ""Doctor Love & Sister Love Rap"" (Heavenly Star)
31. Land of Hits Orchestra ""Gangster Rock"" (Golden Flamingo)
32. T.J. Swann & Company ""Get Fly"" (Express)
33. Busy Bee ""School Days"" (Master Five)
34. Chapter Three ""Smurf Trek"" (Grand Groove)
35. Sweet G ""A Heartbeat Rap"" (West End)
36. Doctor Ice ""Calling Doctor Ice"" (Enjoy)
37. Sugarhill Gang ""Apache"" (Sugarhill)
38. Blondie ""Rapture"" (Chrysalis)
39. Super Jay ""Super Jay Love Theme"" (Hitmakers of America)
40. Sangria ""To the Beat Y'all"" (Reel to Reel)

1982

1. Grandmaster Flash & the Furious 5 ""The Message"" (Sugarhill)
2. Afrika Bambaataa & the Soul Sonic Force ""Planet Rock"" (Tommy Boy)
3. Fearless Four ""Rockin' It"" (Enjoy)
4. Grandmaster Flash & the Furious 5 ""Flash to the Beat (Live)"" (Bozo Meko)
5. Cold Crush Brothers ""Weekend"" (Elite)
6. Busy Bee ""Making Cash Money"" (Sugarhill)
7. Afrika Bambaataa & the Soul Sonic Force ""Looking for the Perfect Beat"" (Tommy Boy)
8. Fearless Four ""It's Magic"" (Enjoy)
9. Fab 5 Freddy ""Change the Beat"" (Celluloid)
10. Malcolm McLaren & the World Famous Supreme Team ""Buffalo Gals"" (Island)
11. Jimmy Spicer ""The Bubble Bunch"" (Mercury)
12. Treacherous Three ""Yes We Can Can"" (Sugarhill)
13. Funky 4 + 1 ""Do You Want to Rock (Before I Let Go)"" (Sugarhill)
14. Masterdon Committee ""Funk Box Party"" (Enjoy)
15. Grandmaster Flash & the Furious 5 ""Flash to the Beat"" (Sugarhill)
16. Super 3 ""When You're Standing on the Top"" (Delmar International)
17. Pieces of a Dream ""Mt. Airy Groove (Rap Version)"" (Elektra)
18. Just Four ""Jam to Remember"" (Grand Groove)
19. Disco Four ""Country Rock & Rap"" (Enjoy)
20. Jonzun Crew ""Space Cowboy"" (Tommy Boy)
21. Grandmaster Melle Mel & Duke Bootee ""Message II (Survival)"" (Sugarhill)
22. Nairobi featuring Awesome Foursome ""Funky Soul Makossa"" (Streetwise)
23. Crash Crew ""Breaking Bells (Take Me to the Mardi Gras)"" (Sugarhill)
24. Grandmixer D.ST & the Infinity Rappers ""The Grandmixer Cuts It Up"" (Celluloid)
25. Whodini ""Magic's Wand"" (Jive)
26. Grandmaster Flash & the Furious 5 ""Scorpio"" (Sugarhill)
27. Disco Four ""We're at the Party"" (Profile)
28. Kurtis Blow ""Daydreamin'"" (Mercury)
29. South Bronx ""The Bottom Line"" (Rissa Chrissa)
30. Kool Kyle the Starchild ""Getting Over"" (Frills)
31. Mr. Sweety ""G"" ""We Want to Get Down"" (Mike & Dave)
32. Paulette & Tanya Winley ""I Believe in the Wheel of Fortune"" (Winley)
33. Star Quality & Class ""Betcha Got a Dude on the Side"" (R&R)
34. Missy Dee & the Melody Crew ""Missy Missy Dee"" (Universal Record Co.)
35. Sweet G ""Boogie Feelin' Rap"" (Queens Constance)
36. Radiance featuring Prize ""The Micstro"" (Ware)
37. Count Coolout ""Touch the Rock (Rhythm Rap Rock Revival)"" (Boss)
38. Wayne & Charlie the Rappin' Dummy ""Check It Out"" (Sugarhill)
39. T Ski Valley ""Sexual Rapping"" (TSMP)
40. Bon Rock & Cotton Candy ""Junior Wants to Play"" (Tommy Boy)

1983

1. Run-D.M.C. ""It's Like That""/""Sucker MC's"" (Profile)
2. Grandmaster & Melle Mel ""White Lines (Don't Don't Do It)""(Sugarhill)
3. K-Rob vs. Rammelzee ""Beat Bop"" (Tartown)
4. Double Dee & Steinski ""Play that Beat Mr. DJ (Lesson 1: the Payoff Mix)""/""Lesson 2: the James Brown Mix""/""Lesson 3: History of Hip-Hop Mix"" (Mastermix promo)
5. Jimmy Spicer ""Money (Dollar Bill, Y'all)"" (Spring)
6. Fantasy Three ""It's Your Rock"" (Specific)
7. The B-Boys ""2, 3 Break"" (Vintertainment)
8. Run-D.M.C. ""Hard Times""/""Jam Master Jay"" (Profile)
9. Sweet G ""Games People Play"" (Fever)
10. Treacherous Three ""Action"" (Sugarhill)
11. Grandmaster Flash & the Furious 5 ""New York, New York""(Sugarhill)
12. Crash Crew ""On the Radio"" (Sugarhill)
13. Art of Noise ""Beat Box""/""Moments in Love"" (ZTT)
14. Fresh 3 MC's ""Fresh"" (Profile)
15. Lovebug Starski ""You Gotta Believe""/ ""Lovebug Starski Live at the Fever"" (Fever)
16. Dimples D ""Sucker DJs (I Will Survive)"" (Party Time)
17. G.L.O.B.E. & Whiz Kid ""Play That Beat Mr. DJ"" (Tommy Boy)
18. Fearless Four ""Problems of the World"" (Elektra)
19. West Street Mob ""Breakdance-Electric Boogie"" (Sugarhill)
20. Beastie Boys ""Cooky Puss"" (Ratcage)
21. Whodini ""Haunted House of Rock"" (Jive)
22. Rockmaster Scott & the Dynamic Three ""It's Life (You Gotta Think Twice)"" (Reality)
23. Newcleus ""Jam on Revenge (the Wikki-Wikki Song)""(Sunnyview)
24. Pumpkin ""King of the Beat"" (Profile)
25. Afrika Bambaataa & the Soul Sonic Force ""Renegades of Funk"" (Tommy Boy)
26. Crash Crew ""We Are Known Emcees (We Turn Parties Out)""(Sugarhill)
27. Spoonie Gee ""The Big Beat"" (Tuff City)
28. Malcolm X featuring Keith LeBlanc ""No Sell Out"" (Tommy Boy)
29. The Rake ""Street Justice"" (Profile)
30. DJ Divine ""Get into the Mix"" (West End)
31. The B-Boys ""Rock the House""/""Cuttin' Herbie"" (Vintertainment)
32. Cold Crush Brothers ""Punk Rock Rap"" (Tuff City)
33. Kevie Kev ""All Night Long (Waterbed)"" (Sugarhill)
34. South Bronx Movement ""You've Got the Power to Get High on Yourself"" (Positive Juice)
35. Gigolette ""Games Females Play"" (Fever)
36. I.R.T. (Interboro Rhythm Team) ""Watch the Closing Doors"" (RCA)
37. T-Ski Valley ""Cut It Up"" (Grand Groove)
38. Rickey G & the Everlasting Five ""To the Max"" (Capo)
39. Captain Rapp ""Bad Times (I Can't Stand It)"" (Magic Disc)
40. K-9 Corps featuring Pretty C ""Dog Talk"" (Capitol)

1984

1. T La Rock & Jazzy Jay ""It's Yours"" (Partytime)
2. L.L. Cool J ""I Need a Beat"" (Def Jam)
3. Run-D.M.C. ""Rock Box"" (Profile)
4. U.T.F.O. ""Roxanne, Roxanne"" (Select)
5. Whodini ""Friends""/""Five Minutes of Funk"" (Jive)
6. Roxanne Shante ""Roxanne's Revenge"" (Pop Art)
7. Kurtis Blow ""8 Million Stories""/""AJ Scratch"" (Mercury)
8. Davy DMX ""One for the Treble (Fresh)"" (Tuff City)
9. Cold Crush Brothers ""Fresh, Fly, Wild & Bold"" (Tuff City)
10. World's Famous Supreme Team ""Hey DJ"" (Island)
11. Whodini ""Freaks Come Out at Night"" (Jive)
12. Disco 3 ""Fat Boys""/""Human Beat Box"" (Sutra)
13. Divine Sounds ""What People Do for Money"" (Specific)
14. Afrika Bambaataa & James Brown ""Unity"" (Tommy Boy)
15. Freddy B & the Mighty Mic Masters ""The Main Event"" (Tuff City)
16. Fat Boys ""Jailhouse Rap"" (Sutra)
17. Newcleus ""Jam on It"" (Sunnyview)
18. Grandmaster Melle Mel ""Beat Street Breakdown"" (Atlantic)
19. Furious Five featuring Cowboy, Grandmaster Melle Mel & Scorpio ""Step Off"" (Sugarhill)
20. Kurtis Blow ""Basketball"" (Mercury)
21. Grandmixer D.ST ""Megamix II (Why is It Fresh?)"" (Celluloid)
22. Chuck Chillout ""Hip Hop on Wax Volume 1"" (Vintertainment)
23. Kool DJ Red Alert ""Hip Hop on Wax Volume 2"" (Vintertainment)
24. Fat Boys ""Can You Feel It?"" (Sutra)
25. Donald D ""Don's Groove"" (Elektra)
26. Pumpkin & the Profile All-Stars ""Here Comes That Beat!"" (Profile)
27. Doug E. Fresh featuring DJs Chill Will & Barry Bee ""Just Having Fun"" (Enjoy)
28. Doug E. Fresh ""Original Human Beat Box"" (Vintertainment)
29. Treacherous Three ""Turning You On"" (Sugarhill)
30. Master O.C. & Krazy Eddie featuring Peso & Tito of the Fearless Four & Main Attraction ""Masters of the Scratch"" (Next Plateau)
31. Dr. Jeckyll & Mr. Hyde ""Fast Life""/""A.M./P.M."" (Profile)
32. Cut Master D.C. ""That's Life"" (Airport)
33. Captain Rock ""Cosmic Blast"" (Nia)
34. DJ Hollywood ""Hollywood's Message"" (H.I.K.I.M.-Ali)
35. Lovebug Starski ""Starski Live at the Fever Pt. II"" (Fever)
36. Ultimate 3 MCs ""What Are We Gonna Do?"" (Partytime)
37. Awesome Foursome ""Funky Breakdown"" (Partytime)
38. Just Four ""Games of Life"" (Express)
39. Frederick ""MC Count"" Linton ""I'm Somebody Else's Guy"" (Vinyl Dreams)
40. Masterdon Committee ""Paid the Cost to Be the Boss"" (Enjoy)

1985

1. Doug E. Fresh & the Get Fresh Crew ""The Show""/ ""La Di Da Di"" (Reality)
2. Schoolly D ""P.S.K.""/ ""Gucci Time"" (Schoolly D)
3. L.L. Cool J ""Rock the Bells"" (Def Jam)
4. Run-D.M.C. ""King of Rock"" (Profile)
5. Marley Marl featuring MC Shan ""Marley Marl Scratch"" (Nia)
6. L.L. Cool J ""I Can't Live Without My Radio"" (Def Jam)
7. Mantronix featuring MC Tee ""Fresh is the Word"" (Sleeping Bag)
8. Whistle ""(Nothing Serious) Just Buggin'"" (Select)
9. Cutmaster D.C. ""Brooklyn's in the House"" (Zakia)
10. Stetsasonic ""Just Say Stet"" (Tommy Boy)
11. Roxanne Shante ""Bite This"" (Pop Art)
12. Grandmaster Flash ""Larry's Dance Theme"" (Elektra)
13. The B-Boys ""Girls"" (Vintertainment)
14. The B-Boys ""Girls Part 2"" (Vintertainment)
15. Roxanne Shante ""Queen of Rox"" (Pop Art)
16. Word of Mouth featuring DJ Cheese ""King Kut"" (Beauty & the Beat)
17. Boogie Boys ""A Fly Girl"" (Capitol)
18. Toddy Tee ""Batterram"" (Evejim)
19. Too $hort ""Girl"" (75 Girls)
20. Kurtis Blow ""If I Ruled the World"" (Mercury)
21. Run-D.M.C. ""Together Forever (Krush Groove 4)"" (Profile)
22. Bad Boys featuring K Love ""Bad Boys"" (Starlite)
23. Hollis Crew ""It's the Beat"" (Def Jam)
24. Beastie Boys ""Rock Hard"" (Def Jam)
25. Bad Boys featuring K Love ""Veronica"" (Starlite)
26. Rockmaster Scott & the Dynamic Three ""The Roof is on Fire""/""Request Line"" (Reality)
27. DJ Hollywood ""Hollywood's World"" (Abdull-Akbar)
28. Jazzy Jay ""Def Jam""/""Cold Chillin' in the Spot"" (Def Jam)
29. Super Nature ""The Show Stoppa (is Stupid Fresh)"" (Pop Art) [a.k.a. Salt-n-Pepa]
30. Sparky D ""Sparky's Turn (Roxanne You're Through)"" (Nia)
31. Super Kids ""The Tragedy (Don't Do It)"" (Nia)
32. Steady B featuring Roxanne Shante ""Just Call Us Def""/""Fly Shante"" (Pop Art)
33. L.L. Cool J ""I Want You""/""Dangerous"" (Def Jam)
34. Mantronix ""Needle to the Groove"" (Sleeping Bag)
35. Craig G ""Shout (Rap Version)"" (Pop Art)
36. Force MD's ""Itchin' for a Scratch"" (Atlantic)
37. Beastie Boys ""She's on It"" (Def Jam)
38. Tricky Tee ""Johnny the Fox"" (Sleeping Bag)
39. DJ Born Supreme Allah ""2, 3 Break (Part II-the Sequel)"" (Vintertainment)
40. Masterdon Committee ""Funkbox 2"" (Profile)

1986

1. Eric B. & Rakim: ""Eric B. is President""/ ""My Melody"" (Zakia)
2. Run-D.M.C. ""My Adidas""/""Peter Piper"" (Profile)
3. MC Shan ""The Bridge"" (Bridge)
4. Boogie Down Productions ""South Bronx"" (B-Boy)
5. Ultramagnetic MCs ""Ego Trippin'"" (Next Plateau)
6. Beastie Boys ""Hold It, Now Hit It"" (Def Jam)
7. Kool G Rap & DJ Polo ""It's a Demo""/""I'm Fly"" (Cold Chillin')
8. Biz Markie ""Make the Music with Your Mouth Biz"" (Prism)
9. Stetsasonic ""Go Stetsa I"" (Tommy Boy)
10. Just-Ice ""Latoya"" (Fresh)
11. Just-Ice ""Cold Gettin' Dumb"" (Fresh)
12. Roxanne Shante featuring Biz Markie ""Def Fresh Crew"" (Pop Art)
13. Beastie Boys ""The New Style""/""Paul Revere"" (Def Jam)
14. Ice-T ""6 'n the Mornin'"" (Techno-Hop)
15. Salt-n-Pepa ""My Mic Sounds Nice"" (Next Plateau)
16. Doug E. Fresh & the Get Fresh Crew ""Play This Only at Night"" (Reality)
17. Too $hort ""Freaky Tales"" (Jive)
18. DJ Jazzy Jeff & the Fresh Prince ""Girls Ain't Nothing But Trouble"" (Word Up)
19. Joeski Love ""Pee-Wee's Dance"" (Vintertainment)
20. Sweet Tee & DJ Jazzy Joyce ""It's My Beat"" (Profile)
21. Cutmaster D.C. ""Brooklyn Rocks the Best"" (Zakia)
22. Dana Dane ""Nightmares"" (Profile)
23. Word of Mouth featuring DJ Cheese ""Coast to Coast"" (Profile)
24. Whodini ""One Love"" (Jive)
25. Original Concept ""Knowledge Me""/""Can U Feel It"" (Def Jam)
26. Doug E. Fresh & the Get Fresh Crew ""All the Way to Heaven""/""Nuthin'"" (Reality)
27. Divine Sounds ""Do or Die Bed Stuy""
(Reality)
28. Rodney O & Joe Cooley ""Everlasting Bass"" (Egyptian Empire)
29. Whodini ""Funky Beat"" (Jive)
30. Sweet Tee & DJ Jazzy Joyce ""It's Like That, Y'all"" (Profile)
31. King Tee ""Payback's a Mutha"" (Techno-Hop)
32. DBL Crew ""Bust It"" (Urban Rock)
33. Stetsasonic ""Faye""/""4 Ever My Beat"" (Tommy Boy)
34. MC Shan ""Jane, Stop This Crazy Thing""/""Cocaine"" (Cold Chillin')
35. Kool Moe Dee ""Go See the Doctor"" (Rooftop)
36. Grandmaster Flash ""Style (Peter Gunn Theme)"" (Elektra)
37. Heavy D & the Boyz ""Mr. Big Stuff"" (Uptown)
38. The Real Roxanne featuring Hitman Howie Tee ""Bang Zoom (Let's Go-Go)"" (Select)
39. Steady B ""Bring the Beat Back"" (Pop Art)
40. B. Fats ""Woppit"" (Posse)

1987

1. Audio Two ""Top Billin'"" (First Priority)
2. Public Enemy ""Rebel without a Pause"" (Def Jam)
3. Boogie Down Productions ""The Bridge is Over"" (B-Boy)
4. EPMD ""It's My Thing""/""You're a Customer"" (Fresh)
5. Big Daddy Kane ""Raw"" (Prism)
6. Public Enemy ""Bring the Noise"" (Def Jam)
7. Biz Markie ""Nobody Beats the Biz"" (Prism)
8. Eric B. & Rakim ""I Know You Got Soul"" (Zakia)
9. Public Enemy ""Public Enemy No. 1""/""Timebomb"" (Def Jam)
10. Big Daddy Kane featuring Biz Markie ""Just Rhymin' with Biz"" (Prism)
11. Super Lover Cee & Casanova Rud ""Do the James"" (Citi-Beat)
12. L.L. Cool J ""I'm Bad"" (Def Jam)
13. Ultramagnetic MCs ""Funky"" (Next Plateau)
14. Eazy-E ""Boyz-n-the Hood"" (Ruthless)
15. Divine Force ""Holy War (Live)"" (Yamak-ka)
16. Schoolly D ""Saturday Night"" (Schoolly D)
17. Eric B. & Rakim ""I Ain't No Joke"" (Zakia)
18. MC Lyte ""I Cram to Understand U (Sam)"" (First Priority)
19. N.W.A ""Dope Man"" (Ruthless)
20. Just-Ice ""Going Way Back"" (Fresh)
21. Roxanne Shante ""Have a Nice Day"" (Cold Chillin')
22. Biz Markie ""Pickin' Boogers"" (Prism)
23. Salt-n-Pepa ""Tramp""/""Push It"" (Prism)
24. Boogie Down Productions ""Poetry"" (B-Boy)
25. Kool G Rap & DJ Polo ""Rikers Island""/""Rhyme Time"" (Cold Chillin')
26. Jungle Brothers ""Jimbrowski"" (Idlers)
27. Dismasters ""Small Time Hustler"" (Urban Rock)
28. Heavy D & the Boyz ""The Overweight Lover's in the House"" (Uptown)
29. Spoonie Gee ""The Godfather"" (Tuff City)
30. The Alliance ""Do It! Do It!/""Bustin' Loose""/""Oreo Cookie"" (First Priority)
31. Antoinette ""I Got an Attitude"" (Next Plateau)
32. Spoonie Gee ""Take It Off"" (Tuff City)
33. Kid 'n Play ""Last Night"" (Select)
34. Latee ""This Cut's Got Flavor""/""Puttin on the Hits"" (Wild Pitch)
35. Steady B ""Use Me (Before I Let Go)"" (Jive)
36. Masters of Ceremony ""Sexy"" (Strong City)
37. Busy Bee ""Suicide"" (Strong City)
38. Lord Shafiyq ""My Mic is on Fire"" (NUWR)
